match,team,opponent,team_score,opponent_score,result,status,round,season,event_id
Almeria_RayoVallecano,Almeria,RayoVallecano,0.0,2.0,loss,finished,1,23_24,11369285
RayoVallecano_Almeria,RayoVallecano,Almeria,2.0,0.0,win,finished,1,23_24,11369285
Sevilla_Valencia,Sevilla,Valencia,1.0,2.0,loss,finished,1,23_24,11369289
Valencia_Sevilla,Valencia,Sevilla,2.0,1.0,win,finished,1,23_24,11369289
RealSociedad_GironaFC,RealSociedad,GironaFC,1.0,1.0,draw,finished,1,23_24,11369293
GironaFC_RealSociedad,GironaFC,RealSociedad,1.0,1.0,draw,finished,1,23_24,11369293
LasPalmas_Mallorca,LasPalmas,Mallorca,1.0,1.0,draw,finished,1,23_24,11369290
Mallorca_LasPalmas,Mallorca,LasPalmas,1.0,1.0,draw,finished,1,23_24,11369290
AthleticClub_RealMadrid,AthleticClub,RealMadrid,0.0,2.0,loss,finished,1,23_24,11369286
RealMadrid_AthleticClub,RealMadrid,AthleticClub,2.0,0.0,win,finished,1,23_24,11369286
CeltaVigo_Osasuna,CeltaVigo,Osasuna,0.0,2.0,loss,finished,1,23_24,11369288
Osasuna_CeltaVigo,Osasuna,CeltaVigo,2.0,0.0,win,finished,1,23_24,11369288
Villarreal_RealBetis,Villarreal,RealBetis,1.0,2.0,loss,finished,1,23_24,11369292
RealBetis_Villarreal,RealBetis,Villarreal,2.0,1.0,win,finished,1,23_24,11369292
Getafe_Barcelona,Getafe,Barcelona,0.0,0.0,draw,finished,1,23_24,11369291
Barcelona_Getafe,Barcelona,Getafe,0.0,0.0,draw,finished,1,23_24,11369291
Cadiz_DeportivoAlaves,Cadiz,DeportivoAlaves,1.0,0.0,win,finished,1,23_24,11369294
DeportivoAlaves_Cadiz,DeportivoAlaves,Cadiz,0.0,1.0,loss,finished,1,23_24,11369294
AtleticoMadrid_Granada,AtleticoMadrid,Granada,3.0,1.0,win,finished,1,23_24,11369287
Granada_AtleticoMadrid,Granada,AtleticoMadrid,1.0,3.0,loss,finished,1,23_24,11369287
