match,team,opponent,team_score,opponent_score,result,status,round,season,event_id
Eibar_CeltaVigo,Eibar,CeltaVigo,1.0,0.0,draw,finished,1,20_21,8966251
CeltaVigo_Eibar,CeltaVigo,Eibar,0.0,1.0,draw,finished,1,20_21,8966251
Granada_AthleticClub,Granada,AthleticClub,3.0,1.0,win,finished,1,20_21,8966329
AthleticClub_Granada,AthleticClub,Granada,1.0,3.0,loss,finished,1,20_21,8966329
Cadiz_Osasuna,Cadiz,Osasuna,0.0,2.0,loss,finished,1,20_21,8966258
Osasuna_Cadiz,Osasuna,Cadiz,2.0,0.0,win,finished,1,20_21,8966258
DeportivoAlaves_RealBetis,DeportivoAlaves,RealBetis,0.0,1.0,loss,finished,1,20_21,8966252
RealBetis_DeportivoAlaves,RealBetis,DeportivoAlaves,1.0,0.0,win,finished,1,20_21,8966252
RealValladolid_RealSociedad,RealValladolid,RealSociedad,2.0,1.0,draw,finished,1,20_21,8966322
RealSociedad_RealValladolid,RealSociedad,RealValladolid,1.0,2.0,draw,finished,1,20_21,8966322
Villarreal_Huesca,Villarreal,Huesca,1.0,2.0,draw,finished,1,20_21,8966257
Huesca_Villarreal,Huesca,Villarreal,2.0,1.0,draw,finished,1,20_21,8966257
Barcelona_Elche,Barcelona,Elche,,,,canceled,1,20_21,8966253
Elche_Barcelona,Elche,Barcelona,,,,canceled,1,20_21,8966253
RealMadrid_Getafe,RealMadrid,Getafe,,,,canceled,1,20_21,8966256
Getafe_RealMadrid,Getafe,RealMadrid,,,,canceled,1,20_21,8966256
Valencia_LevanteUD,Valencia,LevanteUD,4.0,3.0,win,finished,1,20_21,8966360
LevanteUD_Valencia,LevanteUD,Valencia,3.0,4.0,loss,finished,1,20_21,8966360
AtleticoMadrid_Sevilla,AtleticoMadrid,Sevilla,3.0,0.0,win,finished,1,20_21,8966255
Sevilla_AtleticoMadrid,Sevilla,AtleticoMadrid,0.0,3.0,loss,finished,1,20_21,8966255
RealMadrid_Getafe,RealMadrid,Getafe,3.0,1.0,win,finished,1,20_21,9301650
Getafe_RealMadrid,Getafe,RealMadrid,1.0,3.0,loss,finished,1,20_21,9301650
Barcelona_Elche,Barcelona,Elche,3.0,1.0,win,finished,1,20_21,9301659
Elche_Barcelona,Elche,Barcelona,1.0,3.0,loss,finished,1,20_21,9301659
Villarreal_Eibar,Villarreal,Eibar,2.0,2.0,win,finished,2,20_21,8966357
Eibar_Villarreal,Eibar,Villarreal,2.0,2.0,loss,finished,2,20_21,8966357
Getafe_Osasuna,Getafe,Osasuna,2.0,1.0,win,finished,2,20_21,8966523
Osasuna_Getafe,Osasuna,Getafe,1.0,2.0,loss,finished,2,20_21,8966523
CeltaVigo_Valencia,CeltaVigo,Valencia,2.0,1.0,win,finished,2,20_21,8966272
Valencia_CeltaVigo,Valencia,CeltaVigo,1.0,2.0,loss,finished,2,20_21,8966272
AthleticClub_Barcelona,AthleticClub,Barcelona,,,,canceled,2,20_21,8966271
Barcelona_AthleticClub,Barcelona,AthleticClub,,,,canceled,2,20_21,8966271
LevanteUD_AtleticoMadrid,LevanteUD,AtleticoMadrid,,,,canceled,2,20_21,8966330
AtleticoMadrid_LevanteUD,AtleticoMadrid,LevanteUD,,,,canceled,2,20_21,8966330
Sevilla_Elche,Sevilla,Elche,,,,canceled,2,20_21,8966262
Elche_Sevilla,Elche,Sevilla,,,,canceled,2,20_21,8966262
Huesca_Cadiz,Huesca,Cadiz,1.0,3.0,loss,finished,2,20_21,8966517
Cadiz_Huesca,Cadiz,Huesca,3.0,1.0,win,finished,2,20_21,8966517
Granada_DeportivoAlaves,Granada,DeportivoAlaves,2.0,2.0,win,finished,2,20_21,8966273
DeportivoAlaves_Granada,DeportivoAlaves,Granada,2.0,2.0,loss,finished,2,20_21,8966273
RealBetis_RealValladolid,RealBetis,RealValladolid,2.0,0.0,win,finished,2,20_21,8966269
RealValladolid_RealBetis,RealValladolid,RealBetis,0.0,2.0,loss,finished,2,20_21,8966269
RealSociedad_RealMadrid,RealSociedad,RealMadrid,1.0,1.0,draw,finished,2,20_21,8966259
RealMadrid_RealSociedad,RealMadrid,RealSociedad,1.0,1.0,draw,finished,2,20_21,8966259
AthleticClub_Barcelona,AthleticClub,Barcelona,3.0,3.0,loss,finished,2,20_21,9128118
Barcelona_AthleticClub,Barcelona,AthleticClub,3.0,3.0,win,finished,2,20_21,9128118
LevanteUD_AtleticoMadrid,LevanteUD,AtleticoMadrid,2.0,2.0,draw,finished,2,20_21,9301660
AtleticoMadrid_LevanteUD,AtleticoMadrid,LevanteUD,2.0,2.0,draw,finished,2,20_21,9301660
Sevilla_Elche,Sevilla,Elche,3.0,0.0,win,finished,2,20_21,9301661
