match,team,opponent,team_score,opponent_score,result,status,round,season,event_id
Valencia_Getafe,Valencia,Getafe,1.0,0.0,win,finished,1,21_22,9602720
Getafe_Valencia,Getafe,Valencia,0.0,1.0,loss,finished,1,21_22,9602720
Cadiz_LevanteUD,Cadiz,LevanteUD,2.0,2.0,draw,finished,1,21_22,9602717
LevanteUD_Cadiz,LevanteUD,Cadiz,2.0,2.0,draw,finished,1,21_22,9602717
Mallorca_RealBetis,Mallorca,RealBetis,2.0,2.0,draw,finished,1,21_22,9602716
RealBetis_Mallorca,RealBetis,Mallorca,2.0,2.0,draw,finished,1,21_22,9602716
DeportivoAlaves_RealMadrid,DeportivoAlaves,RealMadrid,1.0,5.0,loss,finished,1,21_22,9602714
RealMadrid_DeportivoAlaves,RealMadrid,DeportivoAlaves,5.0,1.0,win,finished,1,21_22,9602714
Osasuna_Espanyol,Osasuna,Espanyol,1.0,1.0,draw,finished,1,21_22,9602723
Espanyol_Osasuna,Espanyol,Osasuna,1.0,1.0,draw,finished,1,21_22,9602723
CeltaVigo_AtleticoMadrid,CeltaVigo,AtleticoMadrid,2.0,2.0,loss,finished,1,21_22,9602715
AtleticoMadrid_CeltaVigo,AtleticoMadrid,CeltaVigo,2.0,2.0,win,finished,1,21_22,9602715
Barcelona_RealSociedad,Barcelona,RealSociedad,4.0,3.0,win,finished,1,21_22,9602718
RealSociedad_Barcelona,RealSociedad,Barcelona,3.0,4.0,loss,finished,1,21_22,9602718
Sevilla_RayoVallecano,Sevilla,RayoVallecano,3.0,1.0,win,finished,1,21_22,9602722
RayoVallecano_Sevilla,RayoVallecano,Sevilla,1.0,3.0,loss,finished,1,21_22,9602722
Villarreal_Granada,Villarreal,Granada,0.0,1.0,draw,finished,1,21_22,9602721
Granada_Villarreal,Granada,Villarreal,1.0,0.0,draw,finished,1,21_22,9602721
Elche_AthleticClub,Elche,AthleticClub,1.0,0.0,draw,finished,1,21_22,9602719
AthleticClub_Elche,AthleticClub,Elche,0.0,1.0,draw,finished,1,21_22,9602719
RealBetis_Cadiz,RealBetis,Cadiz,1.0,1.0,draw,finished,2,21_22,9602810
